predicate,agent,patient,manner,location,entry_id,original_text
present,people,N/A,N/A,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
divide,you,attention,N/A,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
say,i,N/A,N/A,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
pick,i,N/A,N/A,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
know,you,N/A,N/A,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
walk,N/A,N/A,how,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
stand,N/A,N/A,how,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
tell,you,me,N/A,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
stand,you,N/A,how,N/A,21,For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?
think,you,N/A,N/A,N/A,22,Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
walk,you,N/A,N/A,N/A,22,Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
walk,you,N/A,N/A,N/A,22,Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?
walk,you,N/A,"how, naturally",N/A,23,How would you walk down the street naturally... in a hurry?
walk,"line, you",N/A,straight,N/A,24,And how straight a line would you walk?
stop,you,N/A,where,N/A,25,And where would you stop and where would you pause?
pause,you,N/A,where,N/A,25,And where would you stop and where would you pause?
’,that,N/A,N/A,N/A,26,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
call,i,N/A,N/A,N/A,26,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
pause,you,N/A,where,N/A,26,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
stop,you,N/A,where,N/A,26,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
get,you,N/A,N/A,N/A,27,Not until you got to the curb?
look,N/A,N/A,where,N/A,30,Look around where?
walk,you,N/A,"now, how",N/A,31,"Now, how would you walk down the street?"
walk,you,N/A,"how, naturally",N/A,32,How would you walk down the street naturally... in a hurry?
walk,"line, you",N/A,straight,N/A,33,And how straight a line would you walk?
walk,you,N/A,"now, how",N/A,34,"Now, how would you walk down the street?"
stop,you,N/A,where,N/A,35,And where would you stop and where would you pause?
pause,you,N/A,where,N/A,35,And where would you stop and where would you pause?
walk,you,N/A,"how, naturally",N/A,36,How would you walk down the street naturally... in a hurry?
’,that,N/A,N/A,N/A,37,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
call,i,N/A,N/A,N/A,37,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
pause,you,N/A,where,N/A,37,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
stop,you,N/A,where,N/A,37,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
walk,"line, you",N/A,straight,N/A,38,And how straight a line would you walk?
stop,you,N/A,where,N/A,39,And where would you stop and where would you pause?
pause,you,N/A,where,N/A,39,And where would you stop and where would you pause?
’,that,N/A,N/A,N/A,40,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
call,i,N/A,N/A,N/A,40,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
pause,you,N/A,where,N/A,40,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
stop,you,N/A,where,N/A,40,Now that’s what I call an evasive answer. Where would you pause and where would you stop?
get,you,N/A,N/A,N/A,41,Not until you got to the curb?
be,N/A,sign,N/A,N/A,43,"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?"
be,N/A,sign,N/A,N/A,43,"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?"
say,i,N/A,N/A,N/A,44,I said there is no traffic of any kind.
be,N/A,traffic,N/A,N/A,44,I said there is no traffic of any kind.
be,N/A,stoplight,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
walk,you,N/A,here,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
look,you,N/A,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
move,you,head,then,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
be,N/A,stop,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
slow,you,N/A,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
read,N/A,that,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
get,you,N/A,when,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
do,you,N/A,N/A,N/A,45,"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?"
reach,you,curb,N/A,N/A,46,After you reach the curb.
look,N/A,N/A,where,N/A,47,Look around where?
say,i,N/A,N/A,N/A,48,I said there was no traffic.
be,N/A,traffic,N/A,N/A,48,I said there was no traffic.
have,you,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
have,you,N/A,down,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
look,you,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
leave,N/A,N/A,automatically,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
get,you,N/A,when,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
pause,you,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
measure,N/A,height,there,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
have,you,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
cause,what,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
slow,you,N/A,N/A,N/A,49,"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?"
slow,you,N/A,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
pass,N/A,restaurant,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
veer,you,N/A,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
like,who,hunting,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
veer,man,N/A,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
slow,all,N/A,where,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
walk,you,N/A,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
try,any,N/A,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
slow,you,N/A,always,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
pass,N/A,man,N/A,N/A,50,"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child."
learn,you,N/A,"now, how",N/A,51,"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
apply,question,N/A,N/A,N/A,51,"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
know,you,N/A,N/A,N/A,51,"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
learn,you,N/A,how,N/A,51,"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?"
know,you,N/A,even,N/A,52,You didn’t even know what “stand up” meant. How did you learn to stand up?
learn,you,N/A,how,N/A,52,You didn’t even know what “stand up” meant. How did you learn to stand up?
manage,you,N/A,apart,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
keep,N/A,knees,N/A,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
hang,you,N/A,N/A,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
have,you,bases,N/A,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
happen,what,N/A,then,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
lift,you,arm,when,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
sit,you,N/A,N/A,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
lift,N/A,hand,N/A,N/A,53,"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second"
