pattern_id,hmm_state,is_passive,suggestive_verbs,context,reasoning,output,cognitive_frame_id
ERICKSON_TRANSITION_GAZE,Rapport Building,False,,"{'topic': 'Transition to psychotherapy', 'tone_constraint': 'Direct and focused', 'structural_constraint': 'Minimalist transition with non-verbal cue'}",1. 은유적 일화로 이완된 내담자의 상태를 유지하면서 시선을 마주쳐 현재의 상호작용으로 주의를 집중시킵니다. 2. '...에 관해서는'이라는 개방형 표현을 사용하여 내담자가 자신의 치료적 기대를 투사할 공간을 만듭니다. 3. 복잡한 설명 없이 핵심 단어인 '심리치료'를 제시함으로써 무의식이 다음 단계의 변화를 준비하게 유도합니다.,Concerning psychotherapy...,5
ERICKSON_METAPHOR,Metaphor Insertion,False,,"{'topic': '내담자들이 치료를 받으러 올 때의 심리적 상태에 대한 시각적 비유', 'tone_constraint': '관찰자적이며 수수께끼 같은, 그러나 명료한 사실을 전달하는 톤', 'structural_constraint': '시각적 보조 도구(보라색 털 연필)와 극도로 단순한 언어적 암시의 결합'}","1. 내담자들이 치료를 받으러 올 때 느끼는 파편화되고 혼란스러운 내면 상태를 복잡한 이론 대신 직관적인 시각 상징으로 치환하고자 함. 2. 보라색 털이 삐죽삐죽하게 달린 기괴한 연필을 제시함으로써 학생들의 시각적 주의를 고정시키고 '이것이 무엇을 의미하는가'에 대한 인지적 탐색을 유도함. 3. '사람들은 이런 모습으로 여기 옵니다'라는 짧고 모호한 문장을 통해, 연필의 헝클어진 모습과 내담자의 심리적 고통을 무의식적으로 연결시킴. 4. 구체적인 설명 없이 비유만 제시함으로써 학생들이 스스로 내담자의 상태를 투사하고 이해하게 만드는 '무의식적 학습'을 유도함.",People come here like this.,5
ERICKSON_METAPHOR_DEMONSTRATION,Metaphor Insertion,False,,"{'topic': '치료를 통한 내담자의 근본적인 변화와 재구조화', 'tone_constraint': '관찰적이며 확신에 찬, 수수께끼 같은 통찰을 제시하는 톤', 'structural_constraint': '비언어적 행동(연필을 돌리는 행위)과 언어적 암시를 결합한 은유적 투사'}","1. 내담자의 현재 상태를 상징하는 사물(연필)을 선택하여 주의를 집중시킨다. 2. 연필을 격렬하게 돌리는 행위를 통해 치료 과정에서 일어나는 심리적 흔듦과 재구조화 과정을 시각적으로 묘사한다. 3. 연필 끝의 털이 헝클어지는 외형적 변화를 '문제의 해체'와 '새로운 상태로의 전이'에 대한 은유로 활용한다. 4. 'And they leave here like this'라는 짧은 문장을 덧붙여, 시각적 변화가 곧 내담자의 미래 모습임을 무의식적으로 수용하게 만든다.",And they leave here like this.,5
ERICKSON_CONFUSION_INDIRECT_SUGGESTION,Resistance Bypassing,False,,"{'topic': 'Sibling dynamics and the exploration of non-existent personal history', 'tone_constraint': 'Provocative, inquisitive, and slightly playful', 'structural_constraint': 'Rhetorical question based on a counterfactual premise (a sibling the subject never had)'}",1. 내담자가 '외동'이라는 사실을 언급하며 자신의 정체성을 특정 틀 안에 한정 짓고 있음을 포착한다. 2. 내담자의 실제 역사와 상충되는 가상의 시나리오(남동생이 있는 상황)를 갑작스럽게 제시하여 가벼운 혼란(Confusion)을 유도한다. 3. '15세 소녀'와 '7세 남동생'이라는 구체적인 연령 대비를 통해 보편적인 인간관계의 권력 역동과 공감의 부재를 시각화하게 만든다. 4. 이 질문은 내담자로 하여금 자신의 경험적 한계를 넘어 무의식적인 상상력과 인간 심리에 대한 보편적 이해를 자극하도록 설계되었다. 5. 직접적인 설명 대신 수사적 질문을 던짐으로써 내담자가 스스로 그 역동을 내부적으로 검색하고 답을 내리게 유도한다.,Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?,4
ERICKSON_TRUISM_CHALLENGE,Rapport Building,False,,"{'topic': 'Family dynamics and personal history', 'tone_constraint': 'Provocative and inquisitive', 'structural_constraint': 'Negative interrogative statement used as a reality-testing probe'}","1. 내담자의 사회복지사라는 직업적 페르소나를 우회하기 위해 매우 개인적인 가족 관계를 화제로 삼는다. 2. '형제자매가 없느냐'는 부정적 형태의 질문을 던져 내담자가 자신의 내부 기억을 즉시 검색(Transderivational Search)하게 만든다. 3. 내담자가 '아니오' 혹은 '예'라고 대답하는 과정에서 자신의 현실을 스스로 확언하게 하며, 이는 이후의 암시를 수용하기 위한 심리적 준비 상태를 만든다. 4. 아주 짧은 문장이지만 내담자의 주의력을 강력하게 집중시키는 효과를 노린다.",You have no siblings?,4
ERICKSON_MINIMALISM,Rapport Building,False,,"{'topic': 'Clinical intake and data sheet completion', 'tone_constraint': 'Direct, factual, and authoritative yet neutral', 'structural_constraint': 'Concise list-based response without conversational fillers'}","1. 내담자의 질문은 구조와 지침을 구하는 행위이므로, 명확하고 간결한 답변을 통해 즉각적인 안도감과 방향성을 제공한다. 2. 불필요한 설명이나 미사여구를 생략함으로써 치료자가 상황을 통제하고 있음을 암시하고, 내담자가 정보 제공이라는 구체적인 행동에 집중하게 만든다. 3. '형제자매, 나이, 성별'이라는 보편적이고 객관적인 데이터를 요구함으로써 내담자의 저항을 최소화하고 순응(compliance)의 리듬을 형성한다.","Siblings, their ages and their sex.",10
ERICKSON_YES_SET_COMPLIANCE,Rapport Building,False,,"{'topic': '기초 정보 수집을 통한 라포 형성 및 순응 유도', 'tone_constraint': '단호하고 사무적이며 리드미컬한 관찰자', 'structural_constraint': '빠른 속도로 이어지는 구체적 사실 정보의 나열 (Rapid-fire enumeration)'}","1. 내담자의 날짜 확인 질문에 대해 'No'라는 단호한 부정으로 시작하여 내담자의 주의를 즉각적으로 현재(today)로 고정시킨다. 2. 이름, 주소, 전화번호와 같이 의식적인 고민 없이 인출할 수 있는 정보를 나열하여 내담자가 '네, 여기 있습니다'라는 심리적 태도를 갖게 한다. 3. 학위, 형제 관계, 성장 배경 등 점차 구체적인 개인 정보로 범위를 넓히며 내담자가 치료자의 지시에 기계적으로 따르는 리듬을 타게 만든다. 4. 이러한 정보의 폭주는 내담자의 의식적 방어를 과부하시켜 이후의 치료적 개입을 더 쉽게 수용하도록 만드는 사전 작업이다.","No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it, your siblings and their sex and ages, your marital state, children, urban or rural background.",10
ERICKSON_PACING_AND_RAPPORT,Rapport Building,False,,"{'topic': '초기 라포 형성 및 사회적 수용', 'tone_constraint': '정중하고 중립적이며 관찰적인', 'structural_constraint': '사회적 규범을 활용한 최소한의 페이싱(Pacing)'}","1. 내담자가 'Ph.D. 임상 심리학자'라는 타이틀을 앞세우는 것은 자신의 전문적 권위를 인정받으려는 욕구 혹은 치료 상황에 대한 방어 기제일 수 있음을 인지한다. 2. 여기서 에릭슨은 내담자의 타이틀에 대해 특별한 언급을 하거나 자신의 권위를 대조시키지 않음으로써 잠재적인 권력 다툼(Power struggle)을 사전에 차단한다. 3. 가장 평범하고 표준적인 사회적 인사를 선택함으로써 내담자의 사회적 페르소나를 있는 그대로 수용(Pacing)한다. 4. 이러한 단순한 반응은 내담자로 하여금 '평가받지 않는다'는 느낌을 갖게 하며, 향후 치료적 개입을 위한 무의식적 개방성을 확보하는 첫 번째 'Yes Set'으로 작용한다.",Pleased to meet you.,10
ERICKSON_UTILIZATION_PUN,Rapport Building,False,,"{'topic': 'Acceptance of technical equipment during a session', 'tone_constraint': 'Witty, permissive, and nonchalant', 'structural_constraint': 'Use of double-entendre and open-ended quantifier to signal total lack of resistance'}","1. 상대방이 마이크를 추가로 설치해도 되는지 묻는 상황에서 발생할 수 있는 미세한 긴장이나 조심스러움을 포착한다. 2. 마이크(Microphone)를 도청 장치나 작은 벌레를 뜻하는 중의적 표현인 'bugs'로 치환하여 상황을 유머러스하게 재정의(Reframing)한다. 3. 'Any number'라는 무제한적 표현을 사용하여 외부의 자극이나 환경적 변화에 전혀 개의치 않는 초연한 상태를 보여준다. 4. 결과적으로 상대방의 요청을 흔쾌히 수락함과 동시에, 어떤 외부적 요소도 치료적 흐름을 방해할 수 없다는 무의식적 자신감을 전달한다.",Any number of bugs will be all right.,11
ERICKSON_TRUISM_UTILIZATION,Rapport Building,True,,"{'topic': 'Physical limitations and communication logistics', 'tone_constraint': 'Matter-of-fact, vulnerable yet authoritative, observational', 'structural_constraint': 'Enumeration of undeniable facts (Truisms) leading to a behavioral suggestion and psychological engagement'}","1. 마이크 추가 설치 요청에 대해 자신의 목소리가 작을 수밖에 없는 신체적 이유(소아마비, 마비 등)를 객관적 사실(Truism)로 나열하여 청중의 수긍을 얻는다. 2. 이러한 한계를 숨기지 않고 드러냄으로써 청중이 자신의 말에 더 집중해야 한다는 무의식적 당위성을 부여한다. 3. '이해하지 못하면 말해달라'는 허용적 제안을 통해 심리적 장벽을 낮추고 소통의 주도권을 청중에게 일부 넘기는 듯한 제스처를 취한다. 4. 청각 장애가 있는 사람이 뒤에 앉는다는 역설적 관찰을 언급하며, 청중이 물리적으로 가까이 다가앉게 유도하여 심리적 밀착도와 최면적 수용성을 높인다.","I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back.",10
ERICKSON_TRUISM_YES_SET,Rapport Building,False,,"{'topic': 'Distinction between conscious and unconscious awareness in psychotherapy training', 'tone_constraint': 'Instructive, observational, and subtly playful', 'structural_constraint': 'Sensory grounding through a series of truisms to define the conscious mind'}","1. 의식과 무의식이라는 복잡한 개념을 설명하기 위해 먼저 '의식'을 감각적 현실로 단순화하여 정의한다. 2. 청자가 현재 보고 있는 사물들(휠체어, 카펫, 조명 등)을 구체적으로 언급함으로써 '예스 세트(Yes-Set)'를 형성하고 저항을 무력화한다. 3. 시각적 정보를 촘촘하게 나열하여 청자의 의식적 주의력을 외부 환경에 완전히 결속시킨다. 4. '드라큘라 백작'과 같은 의외의 요소를 삽입하여 자칫 지루해질 수 있는 나열에 생동감을 불어넣고 주의의 집중도를 확인한다. 5. 결론적으로 청자가 자신의 주의가 분산되어 있음을 자각하게 함으로써, 언급되지 않은 '무의식'의 영역이 존재함을 역설적으로 암시한다.","Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you.",8
ERICKSON_UNCONSCIOUS_CHALLENGE,Rapport Building,False,,"{'topic': 'Unconscious competence and automatic functioning', 'tone_constraint': 'Playful yet provocative and inquisitive', 'structural_constraint': 'Socratic questioning leading to a realization of conscious limitation'}","1. 특정 대상을 지목하여 주의를 집중시키고 가벼운 긴장감을 조성한다. 2. '걷는 법을 아는가?'와 같은 당연한 질문을 통해 긍정적 답변(Yes-set)을 유도한다. 3. 질문의 난이도를 높여 '어떻게 일어서는지 설명해달라'고 요청함으로써, 몸은 알고 있지만 의식은 설명할 수 없는 '무의식적 지식'의 영역을 건드린다. 4. 이를 통해 내담자가 자신의 의식적 통제보다 더 거대한 무의식의 자원이 이미 작동하고 있음을 직관적으로 체험하게 한다.",For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?,8
ERICKSON_YES_SET_CAPABILITY,Rapport Building,False,,"{'topic': '신체적 조절 능력 및 보행 안정성에 대한 확인과 강화', 'tone_constraint': '부드럽고 탐구적이며, 내담자의 능력을 신뢰하는 관찰자적 어조', 'structural_constraint': ""긍정적 답변을 유도하는 'Yes Set' 구조와 구체적인 행동 시뮬레이션을 유도하는 질문법""}","1. 내담자의 저항을 최소화하기 위해 '교통량이 전혀 없는 거리'라는 안전하고 방해 요소가 없는 가상의 환경을 설정한다. 2. 'Do you think you could'와 같은 완곡한 질문을 통해 내담자가 스스로의 능력을 내적으로 검토하고 긍정하도록 유도한다. 3. 'steady pace(일정한 속도)'와 'straight line(직선)'이라는 핵심 키워드를 반복 삽입하여, 무의식적으로 균형 감각과 안정적인 운동 제어에 집중하게 만든다. 4. 연속된 질문을 통해 내담자가 머릿속으로 걷는 행위를 상상하게 함으로써 실제 행동 변화를 위한 신경학적 예행연습을 수행하게 한다.",Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?,11
ERICKSON_NATURALISTIC_INDUCTION,Rapport Building,False,,"{'topic': 'Natural physical movement and unconscious motor patterns', 'tone_constraint': 'Gentle, inquisitive, and observational', 'structural_constraint': 'Juxtaposition of naturalness with a specific situational constraint to trigger internal simulation'}","1. 내담자의 의식적 비판 기능을 우회하기 위해 '걷기'라는 지극히 평범하고 자동적인 일상 행위를 화제로 선택한다. 2. '자연스럽게(naturally)'라는 단어를 삽입하여 의식적인 노력이 아닌 무의식적 신경계의 반응을 촉구한다. 3. '서두를 때(in a hurry)'라는 구체적인 제약 조건을 제시함으로써 내담자가 단순히 개념적으로 생각하는 것이 아니라, 실제 그 상황의 신체적 감각을 뇌에서 재현(Transderivational Search)하도록 유도한다. 4. 질문 형식을 통해 내담자가 스스로 답을 찾는 과정에서 자신의 신체적 자각에 몰입하게 만드는 가벼운 트랜스 상태를 유도한다.",How would you walk down the street naturally... in a hurry?,4
ERICKSON_IDEOMOTOR_FOCUS,Rapport Building,False,,"{'topic': 'The physical trajectory and sensory details of walking', 'tone_constraint': 'Curious, observant, and subtly guiding', 'structural_constraint': 'Open-ended sensory inquiry using a specific geometric metaphor (straight line)'}",1. 내담자의 주의를 추상적인 대화에서 구체적인 신체적 경험(걷기)으로 전환시킨다. 2. '얼마나 직선으로(how straight a line)'라는 표현을 통해 내담자가 자신의 움직임을 마음속으로 시뮬레이션하고 내적으로 검색(Internal Search)하게 만든다. 3. 'And'라는 접속사를 사용하여 이전의 대화 흐름을 자연스럽게 수용하면서 무의식적인 집중 상태로 유도한다. 4. 이 질문은 내담자가 자신의 행동에 대한 통제력과 방향성을 감각적으로 자각하게 함으로써 트랜스 상태를 심화시키는 역할을 한다.,And how straight a line would you walk?,4
ERICKSON_SUBTLE_DISTINCTION,Rapport Building,False,,"{'topic': 'Walking habits and the distinction between stopping and pausing', 'tone_constraint': 'Inquisitive, gentle, and precisely observant', 'structural_constraint': 'Linguistic distinction between near-synonyms to induce internal search'}",1. 내담자가 자신의 행동을 세부적으로 관찰하도록 유도하기 위해 '멈추는 것'과 '잠시 멈추는 것' 사이의 미묘한 언어적 차이를 설정합니다. 2. 이러한 구분을 통해 내담자의 의식이 정답을 찾는 동안 무의식은 자신의 신체적 습관과 그 이면의 감각에 집중하게 만듭니다. 3. 질문 형식을 빌려 내담자가 스스로의 경험 속에서 구체적인 지점을 찾게 함으로써 변화를 위한 기초 정보를 수집하고 트랜스 상태를 심화시킵니다.,And where would you stop and where would you pause?,4
ERICKSON_DIRECT_CHALLENGE,Rapport Building,False,,"{'topic': 'Addressing evasiveness and demanding behavioral precision', 'tone_constraint': 'Direct, observant, and clinical', 'structural_constraint': 'Direct labeling of resistance followed by a clarifying linguistic distinction'}",1. 내담자의 방어 기제를 '회피'라고 명확히 규정하여 사회적 가면을 무너뜨리고 주의를 집중시킵니다. 2. '잠시 멈춤'과 '끝냄'이라는 두 단어 사이의 미세한 차이를 질문하여 내담자가 자신의 무의식적 의도를 분석하게 만듭니다. 3. 질문을 통해 내담자의 주의를 외부의 저항에서 내부의 명확한 행동 정의로 전환시킵니다.,Now that’s what I call an evasive answer. Where would you pause and where would you stop?,4
ERICKSON_NEGATIVE_CONSTRAINTS,Rapport Building,False,,"{'topic': 'The precise timing and physical location of an action', 'tone_constraint': 'Inquisitive, subtle, and focused on sensory-motor details', 'structural_constraint': ""Negative constraint ('Not until') used as a presupposition to define behavioral boundaries""}","1. 내담자의 주의를 모호한 시간 흐름에서 '연석(curb)'이라는 구체적인 물리적 이정표로 집중시킨다. 2. 'Not until' 구조를 사용하여 특정 조건이 충족되기 전까지는 결과가 발생하지 않는다는 논리적 제약을 가한다. 3. 이 질문은 내담자로 하여금 연석에 도달하는 순간이 행동의 전환점임을 무의식적으로 인정하게 만드는 암시적 효과를 가진다. 4. 단순한 확인을 넘어, 내담자의 경험적 기억 속에 특정 행동의 순서와 타이밍을 각인시킨다.",Not until you got to the curb?,4
ERICKSON_SENSORY_SPECIFICITY,Rapport Building,False,,"{'topic': '연석 앞의 거리 측정에 관한 질문', 'tone_constraint': '정밀하고 분석적이며 중립적인 관찰자의 톤', 'structural_constraint': '구체적인 감각 정보(거리)를 요구하는 직접 질문 구조'}","1. 내담자의 의식이 추상적 관념에 머물지 못하도록 구체적인 물리적 대상인 '연석'을 제시한다. 2. 거리를 묻는 질문을 통해 내담자가 자신의 내면에서 시각적, 공간적 이미지를 재구성(Transderivational Search)하도록 유도한다. 3. 이러한 미세한 정보에 집중하게 함으로써 의식의 방어 기제를 우회하고 변형된 의식 상태로의 진입을 돕는다.",How far before the curb?,4
ERICKSON_UNCONSCIOUS_COMPETENCE,Rapport Building,False,,"{'topic': '무의식적 자동 기능과 기억의 증명', 'tone_constraint': '도전적이면서도 호기심을 유발하는 장난스러운 어조', 'structural_constraint': '당연한 사실(Truism)에 대한 질문으로 시작하여 의식적 설명의 불가능성을 드러내는 구조'}","먼저 '당신을 지목하겠다'는 선언을 통해 청중의 주의를 집중시키고 가벼운 긴장감을 조성합니다. 그 후 '걷는 법을 아느냐'는 매우 당연한 질문을 던져 내담자가 '예'라고 답할 수밖에 없는 상황(Yes-set)을 만듭니다. 하지만 곧이어 그 과정을 구체적으로 '설명해달라'고 요청함으로써, 의식적인 마음이 실제로는 그 복잡한 메커니즘을 전혀 파악하지 못하고 있음을 노출시킵니다. 이는 내담자가 자신의 무의식이 의식보다 훨씬 더 유능하며, 이미 많은 것을 '알고 있음'을 직접 체험하게 하려는 고도로 계산된 전략입니다.",예를 들어... 당신을 지목해 보죠. 당신은 걷는 법을 아나요? 일어서는 법은요? 당신이 어떻게 일어서는지 제게 설명해 주시겠습니까?,8
ERICKSON_DIRECTIVE_FOCUS,Call to Action,False,,"{'topic': 'Clarification of visual search or focus', 'tone_constraint': 'Direct, inquisitive, and guiding', 'structural_constraint': 'Short, open-ended interrogative focusing on spatial specificity'}",1. 내담자의 막연한 시각적 탐색 의도를 포착하여 이를 구체화할 필요성을 느낀다. 2. '어디를(where)'이라는 구체적인 장소성을 묻는 질문을 통해 내담자가 자신의 내적 또는 외적 시야를 특정 지점에 고정하도록 유도한다. 3. 짧고 간결한 문장 구조를 선택함으로써 내담자의 복잡한 방어 기제를 자극하지 않고 즉각적인 무의식적 검색(Transderivational Search)을 유도한다.,Look around where?,4
