text,dominant_topic,topic_contribution
"You have to stop and see how far down you have to step, and you look right and left and up the street automatically. And when you get to the opposite curb, you pause and measure the height of the curb there and you wouldn’t have to look right or left. And what would cause you to slow down?",5,0.5038016233289918
"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, you would veer towards the jewelry store. And a man who likes hunting and fishing could veer from a straight line toward a sporting goods store window. And, where would all of you all slow down? At what building?. . . As if you were walking through an invisible barrier? Didn’t any of you try to walk past a bakery? You always slow down passing a bakery — man, woman or child.",1,0.9653781159851822
"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you. You know how you learned to stand up. What was your first bit of learning?",4,0.40334476494841154
You didn’t even know what “stand up” meant. How did you learn to stand up?,0,0.6230477150869796
"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your hips straight and you hang on the side of the playpen. You have four bases — two of your feet and two of your hands. And then what happens when you lift this arm? You sit down. It is quite a job to learn to lift this hand and a bigger job to put your hand out because your body goes over that way. And then it goes that way, and that way. And you have to learn to keep your balance no matter how you move this hand. And then you have to learn how to move the other hand. And then you have to learn to coordinate it with the movement of your head, your shoulders and your body. And finally you can stand up with both hands free. Now, how do you shift from two feet to one foot? It is an awfully big job because the first time you try to do it, you forget to hold your knees straight and your hips straight, and you sit down. After a while you learn to put all your weight on one foot and then you move one foot forward and that alters your center of gravity, so you fall down. It takes a long time to learn how to put one foot forward. So, you finally take your first step and it seems to be pretty good. Then you take the second",0,0.8937191030190846
"Now, you speak German, do you not?",5,0.3666688486886161
How much more easily did you learn English than German?,2,0.6833090637376114
Why?,0,0.1
You had to learn an entirely new set of vocal movements. You had to coordinate those with your ears. Can you say “The bird flies high?”,2,0.899977713299591
Now say it in German.,2,0.6999655175313706
Can you say it in Plattdeutsch?,5,0.5499641736697178
Why not?,0,0.1
"Do you know this: “It’s nice to be Preiss, but higher to be Bayer?”",2,0.7749817486631637
"It’s nice to be Preiss, but higher to be Bayer.",2,0.699995751753361
"I can’t speak German. My accent may be wrong. It’s good to be Prussian, but it’s better to be Bavarian.",5,0.46133935789753006
"Now, I want to make the accusation of all of you that you talk too softly. I think the truth is, I can’t hear so well.",8,0.7205231457773916
"All right. In psychotherapy you teach a patient to use a great many of the things that they learned, and learned a long time ago, and don’t remember learning. The next thing I want to say is that we all have billions of brain cells. Billions and billions of brain cells. And brain cells are highly specialized. You learn German with one set of brain cells, and you use another set of brain cells to learn English and another set of brain cells to learn Spanish.",1,0.9780443718614772
"Now, another thing I want to call your attention to is the matter of hypnosis. Hypnosis is the ceasing to use your conscious awareness; in hypnosis you begin to use your unconscious awareness. Because unconsciously you know as much and a lot more than you do consciously.",5,0.5602576073858917
I am going to ask you to change seats with...,4,0.47000249296338126
What is your first name?,0,0.1
Kristie?,0,0.1
Has Joe Barber put you in a trance?,9,0.3666665708871563
Many times?,3,0.5499999999603368
All right. Lean back in your chair and look at that horse.,6,0.8499865798417509
Do you see it?,0,0.1
"Just look in that general direction. I want all of you to listen to me and note what I am saying. Now, Christine, just look at that horse. You don’t need to move. You don’t need to talk. I am going to remind you of something that you learned a long time ago. When you first went to school and the teacher asked you to learn to write the letters of the alphabet that seemed to be a terribly difficult job. All those letters. All those different shapes and forms. And what made it worse, there were printed letters and small letters. And while I’ve been talking to you, your respiration has changed. Your heart rate has changed. Your blood pressure has changed. Your muscle tonus has changed. Your motor reflexes have changed. And now, I would like to have you keep your eyes closed, and I would like to have you feel very comfortable. And the more comfortable you feel, the deeper into trance you’ll go. I would like to have you go so deeply into a trance that it will seem to you that you don’t even have a body. You’ll feel yourself to be just a mind without a body. A mind floating in space. Floating in time. And memories of long ago will come back to you. Memories that you had long ago forgotten. And my voice will go with you everywhere, and my voice can become the voice of your parents, your teachers. It can become a German voice. It can be the voice of your playmates, your schoolmates, your teacher.",2,0.9204589503310706
"And next, I want you to learn something else very important. I want your body to keep sleeping deeply, soundly, in a very deep trance, and after a while I want just your head to awaken. Just your head. For your body, sleep. From above the neck you will be wide awake. Now it will be difficult for you to do so, but you can awaken from the neck up. It will be hard, it will be difficult, but you can do it. And let your body sleep soundly. You can make more effort than that; even though you don’t want to awaken, you are going to awaken from the neck up.",4,0.976918135812433
How do you feel?,2,0.5499998384848522
"And, what memories would you like to share with us?",2,0.7749946323575263
Yes... How about school?,1,0.6999401457779628
You don’t believe you had a memory of your schooldays?,5,0.6242291465604717
You are sure of that?,8,0.5499999999254003
You feel that you are awake.,4,0.36666665699445805
One of the important things you learn when you are first born,5,0.651625455909469
How come your hand is lifted?,3,0.3666667174328557
"Is that the important thing, or is the important thing that your hand levitated and you don’t know why?",5,0.279576865702381
What’s that?,0,0.1
"Well, what caused it to levitate?",6,0.5499999995222085
"There is a lot of your behavior you don’t know about. You always use your right-hand direction and levitate up to your face. And you know that you are not doing it and it will stick to your face and you can’t move it away from your face. Now, the harder you try to take it away, the more it will stick to your face. So try hard to put it away. Because you can’t",7,0.788453553167821
And you are very responsive. I made a hand movement and you started to copy it.,3,0.819996208929626
"I made a hand movement. You started to copy it. Now, the only way that you can get that hand down to your lap is to have the other hand lift up and shove it down.",3,0.8999941713511099
I know. You are letting your intellect interfere with your learning.,1,0.6543507662901268
"Now I’ll call the attention of everybody. Did you ever see anybody sit that still, that quietly? And she didn’t turn her head to look at me first. She turned her eyes to look at me first. Ordinarily, when you want to look at somebody, you turn your face. And you turned your eyes. You separated your eyes from your head and your neck.",8,0.6407625696396798
What’s that?,0,0.1
"I’m very glad to hear that. When you really want your right hand to go down, your left hand will lift up and push it down. And you think you’re awake, don’t you?",6,0.4308741814378646
"You really do, don’t you. And you really don’t know that you are asleep. How long do you think you will be able to keep your eyes open?",0,0.5020406982989816
Will they close now? And stay closed? Now you want to rationalize that?,9,0.6199990862083699
"Are you aware of the fact, you can’t stand up?",5,0.5243351754955464
Are you beginning to have doubts that you could stand up?,0,0.774999999929288
Aren’t you behaving like a sacral block?,7,0.27499992877134344
Sacral block. A sacral anesthesia...,7,0.6999977072732612
Aren’t you behaving that way?,5,0.36666597828824876
She didn’t watch her wiggle and watch all the others wiggle. Now all of you understand what I mean when I say “watch the others wiggle.” You’re staying awfully still for somebody who is awake. Now let your arm get more and more tired until you want to... use your left hand to push it down....,2,0.6717384107404085
"You feel more awake in your arms, don’t you?",2,0.39399270247216966
Can you move them? Your fingers aren’t your hands.,5,0.7749906556125911
"Can you rationalize that effort? The doctor here is an anesthesiologist and she is interested in hypnosis. Now to produce a sacral block in a pregnant woman, I would many times put her in a trance like this and never mention anything else. And I tell her, “ When you go into the delivery room, think about the sex of the baby, its weight, its appearance and features, whether or not it will have hair. After a while, the obstetrician, who is in full charge of the lower half of your body, will tell you to look and see what your baby is. He will hold it up. You have a complete sacral block — a total anesthesia”",6,0.701664577983434
I notice that all of you are constantly changing your posture.,9,0.36667336853518734
"I had a patient once, who came to me for therapy. She had been coming for several months. And one day she said, “I’m going to go into a trance, Dr. Erickson.” And when she was in a trance she said, “I feel so comfortable, I’ll stay here all day.” And I said, “Unfortunately, there are other patients coming in. You can’t stay here all day.” She said, “I don’t care about the other patients.” I said that I make my living seeing patients. She said, “That’s all right, I’ll pay you for every hour. I’m going to stay here all day.” How would I get rid of her? I told her to enjoy her sleep and “I do hope you don’t have to go to the bathroom.”",1,0.8541994665820533
Your shoulders are waking up.,5,0.36666691940807145
I think it will save you some embarrassment.,6,0.5499846832266229
"Well, I do hope you don’t have to go to the bathroom too suddenly.... You are getting better acquainted with yourself now.",4,0.4627459450767619
You don’t have to go to the bathroom.,1,0.38351015796440724
Who among you have never been in a trance?,4,0.5499995784050776
"You haven’t. And you haven’t. Well, doctor, a pretty girl is easier to look at in a trance than a man. Isn’t that your experience?",2,0.8610736300183588
A pretty girl is easier to look at.,2,0.8199988760251196
"So, will you change seats with... And did all of you notice, I didn’t ask anything of Christine.",8,0.8499972182429875
"Your name is Kristie, isn’t it?",8,0.5499930852011804
Christine. Did I ask you to sit over there?,8,0.7749807603469855
"No, I asked her.",8,0.5499661229974574
"Well, you have already done it. I didn’t ask you to wake up. I let your conscious mind take over. I only asked her if she would sit here. You did all the rest.",8,0.3974386877543616
You’ve never been in a trance?,4,0.36666640324345334
Your name?,0,0.1
Carol. Is it your common experience to let a strange man lift your hand and leave it in midair?,8,0.4640217155947244
Do you think you are in a trance?,6,0.3683056773572332
You really don’t?,0,0.4091512957751888
You’re sure?,8,0.5499999999254003
You’re not sure. Do you think your eyes will soon close?,8,0.5166491410657659
You don’t know.,7,0.699989917782513
Are you really sure your eyes won’t close and stay closed?,9,0.5124996437858149
Do you suppose that soon they’ll blink shut and stay shut?,9,0.38749900152781414
"You’re not really sure at all are you, Carol?",8,0.7749930028249299
But you’re beginning to get sure your eyes will close. Pretty soon now... and stayed closed.,9,0.38750013624787294
"In psychotherapy, you ought to know that your patient knows more about his past learnings than you can ever know. You don’t know how you go to sleep. You don’t know how you let loose your awareness, your conscious awareness. And so when a patient comes to me, I have all the doubts. I doubt in the right direction. The patient doubts in the wrong direction. More and more comfortable. And go so deeply a sleep, that it will seem to you as if you had no body at all. It will seem to you as if you were just a mind, an intellect, floating in space, in time.",5,0.32357592905937355
"Maybe you are a little girl playing at home, or maybe you are a little girl in school. I would like to have many memories you have forgotten a long time ago come forth. I want you to have the feelings of a little girl. All the feelings. And whatever feelings you had sometime later, you might choose to tell us some of them.",2,0.8876721693199718
"You might be playing a game on the school grounds. You might be eating your lunch, or you might be interested in your teacher’s dress, and what you see on the blackboard, or the pictures in a picture book... things you have forgotten a long time ago.",2,0.7001470635188226
And the year is not 1979 — it’s a long way off. It’s not even 1977 — It’s not even 1970. And I don’t know if the year is 1959 or 1960. I don’t know whether you are looking at a Christmas tree or a church or playing with a dog or a cat.,1,0.4479476995697031
"After a while you will awaken and tell us about the little girl named Carol. And really be that nice little girl, Carol, in the year of 1959 or 1960. Maybe you’ll wonder what you will be when you’re a big girl. I would like you to have the experience of letting your body sleep deeply while you awaken only from the neck up. Hi. What would you like to say to me?",2,0.4407932933054966
I Do?,0,0.1
Thank You. Where are we?,3,0.5499999996616326
In a little park?,8,0.3695398935621552
What are you going to do when you are a big girl?,2,0.5249848315826178
It is a very long time away. What do you like to do now?,2,0.6199867805656081
What kind of games?,2,0.5499802229211109
Ball?,7,0.5499999996005547
Hopscotch.,0,0.1
Hopscotch. Where do you live? Near this park?,8,0.524956649066036
Where?,0,0.1
Where do you live far away?,8,0.5249882301441571
Where is that?,0,0.1
Pennsylvania. (In a lilting voice.) How old are you?,1,0.36666671301192677
You’re five years old.,1,0.6999993773501804
Three or four. And what do you like best about this park?,8,0.5204685871233536
Do you wish they were here now?,2,0.5499705970887564
And are there lots of trees?,3,0.699999999905478
Any people around?,5,0.5499826390943704
Now.,0,0.1
Who are these people?,5,0.5499826390943704
You are only three or four or five years old. Where did you learn to say such a big word as “professional”?,1,0.4973990828353785
How do you feel right now that you can’t stand up?,0,0.34231516816322966
Now you are aware.,5,0.5499999999250924
It is.,0,0.1
Would you like to have me tell you a secret?,6,0.5257848353977689
"Now, all the people around here have forgotten to hear the traffic sounds. (Erickson smiles.) And I never once told them to be deaf. And all of a sudden they begin to hear the traffic noise. And how many of you are in a trance? (A number of people have their eyes closed.) If some of you look around you will see a lot of immobility.",8,0.46476217457836017
"Close your eyes. Just close them. And enjoy sleeping soundly ... in a very comfortable trance, and you too, and you too. Close your eyes now. All the way now .. . and go into a deep trance because you have got billions of brain cells that will function and you will learn all that there is to learn.",4,0.4005410053429309
"Someday, three or four months from now, I’m going to call a meeting of all of you. Every one of you better have your book read and be ready to give a total review of the book.",1,0.44856550495165287
Remember... I assigned some books to each of you to review. The time has now come for the review.,7,0.4727054204824605
I do not accept excuses. You were assigned the book to read and were told in three or four months to be ready with your report. And you tell me you haven’t even read it. Do you know the title and the author?,1,0.35156107290122446
"Get out some paper and take your pen and each of you summarize what you think the author should have put in the third chapter; summarize what you think he should have put in the seventh chapter, and in the ninth chapter.",6,0.899999344940583
"Well, you know the name and the title of the book. That is all there is to it. Sit down and summarize those three chapters each one of you.",8,0.5886571446662798
"And shortly, Carol, I would like to have you awaken all over. Gently, comfortably.",4,0.547953832413052
"What do you think about that Count Dracula hanging there? During the day, that is where he lives. But at night he comes alive and feeds on blood.",5,0.37159087636912536
"Now all of you have seen Count Dracula. You see, this way he doesn’t need a coffin, and nobody suspects who he is.",5,0.7094831797042744
Would you like to have me tell your fortune?,6,0.36708780583476563
"See this line — do you see the letters “R, e, a, d, i, n, g”? It’s the name of a park.",8,0.5249989173441321
"그 공원의 이름이... 정확히 무엇이었는지 다시 한번 말씀해 주시겠습니까? 당신이 그 이름을 소리 내어 말할 때, 당신의 무의식은 이미 그 공원의 벤치에 앉아 그날의 공기를 마시고 있을지도 모르니까요.",9,0.8874999999751075
"In Pennsylvania. Over here you see your Grandfather? Do you really enjoy going to that small park in Reading, Pennsylvania? How am I at palm reading?",8,0.44611114160074583
How am I at palm reading?,8,0.3666668315907707
Now why did I talk about Count Dracula? Why did I speak about Count Dracula? Count Dracula has an appeal for childhood.,5,0.7572128813560888
Appeal — an interest for childhood.,3,0.5499742987494375
"No, an interest.",0,0.1
"So I am saying something that children think about. And palm reading is another useful thing. And the fact that Count Dracula is a long, long way from Reading Park allowed for amnesia and directed her attention away from this chair to Reading Park, to her childhood, to the past, and I didn’t tell her to have an amnesia.",8,0.3729567688654727
What am I talking about?,2,0.5499999999302029
"So, she hasn’t been able to follow it very well. (Laughs.) And all of you were taught by your teachers and your parents, “Look at me when I speak to you, and you look at me when you talk to me.” And she came here and listened to me and I’ve evoked a pattern of behavior that belonged to long ago.",2,0.7856427859230942
She was unable to follow me even when I was talking about her.,2,0.6999999998801242
When did you leave that place in Pennsylvania that had Reading Park?,8,0.8499993800403819
"Well, how did I know that you and your grandfather went to Reading Park?",8,0.6680274088392523
"He did, didn’t he? And you liked to look at his friends. Any other dark secrets of yours that you don’t want me to know?",8,0.7652620236371156
"Isn’t it funny how all the traffic sounds stopped again? Now you hear them again. All right. Now we move in three different ways. It may be intellectually, it may be emotionally and we move motorically by moving around. Some move more than others.",6,0.7515822472989132
"Now, one year I was teaching hypnosis to dentists, doctors and psychologists at Phoenix College. I taught in the evening from 7:00 to 10:30, and people came from Yuma, Flagstaff, Mesa, and Phoenix to attend my classes. And after class they would go home.",1,0.5942433688862249
"I awakened her, and told her to stay awake. I started my lecture. She promptly went into a trance. A deep trance! I awakened her again and told her to “stay awake.”",1,0.5062481927924631
"Mary, 이제 그 깊은 최면 상태에서 천천히 빠져나오세요. 하지만 그냥 나오는 것이 아니라, 당신의 무의식 깊은 곳에 머물러 있던 소중한 어린 시절의 기억들을 몇 가지 가지고 함께 돌아오길 바랍니다.",9,0.8416676115409374
"I asked what that meant and she didn’t know. I tried again and again, but that’s all the childhood memories I got butterfly sleeves and bamboo clump.",8,0.48745144688061
"Well, since I can’t get anything out of her, I will create a situation in which Mary can really teach us all a great deal.",1,0.3925411432756744
"I want you to go into a deep, deep trance. Go into a deep trance, a very deep trance and find some emotion. An emotion you didn’t dare to know the meaning of. It will be a very strong emotion and you will bring it out. And no knowledge, no intellectual comprehension, just bring emotion and only the emotion.",4,0.6673215903597506
"What is the trouble, Mary?",6,0.6999976099770778
"I asked her if she could take my hand and she said, “Yes.” I asked her if she would take my hand, and she said, “No.” I asked why.",1,0.677774046635941
I invited the rest of the class to look Mary over and talk to her.,2,0.5771451868385743
"Go back into the trance, way deep in the trance and bring out the intellectual side.",4,0.5800407356385536
"What is the rest of the story, Mary? There is still something more. The next class meeting bring in the next installment.",6,0.7285714814032452
"Anything else, Mary? At the next meeting of the class, you bring in another installment of the story. All right.",6,0.8714276575198211
"No, Mary, you can tell us the next part of the story.",6,0.7749999902060448
I’ll ask you a question and then you can tell us the next part. What question could you ask me? It’s very simple. How did you explain it to your mother that you were late for lunch?,4,0.41097105844557796
"Anything more? All right, bring in the next installment the next meeting of the class. Oh, yes there is.",6,0.5693251271968651
"Well, I will have to ask you a question again. Now, tell me, Mary, when you went in the house, did you go in the front door or the back door?",6,0.4213017712525927
"Is there anything else, Mary?",6,0.5499999998929499
Suggest to me what year or what event.,1,0.6999999999151335
Why not regress me to my third birthday.,3,0.5499999997544024
Yet you say you and your wife want to move to Arizona and start a family,1,0.8714125357459251
"Well, I don’t know anything about Arizona law; I’m only a psychiatrist, and I don’t know the law. I do know how the bar examinations are conducted. I know that the lawyers seeking a legal license gather in a certain building in Tucson. It is an essay examination. The examination questions are mimeographed and there will be a stack of the questions and blue books. Each applicant picks up a copy of the questions and blue books and finds a comfortable seat, sits down and writes all day from 9:00 in the morning to 5:00 at night. And then on Friday he starts in the same way at 9:00 and finishes at 5:00. On Saturday, he gets another new set of questions, and he writes to five o’clock. Then the examination is done. Each day is an essay examination and each day a different set of questions is presented.",7,0.5546601905847498
"You’ve got to go to Tucson tomorrow morning and you say that you and your wife want to move to Arizona that you like Arizona that you don’t like Wisconsin. Therefore, when you are driving to Tucson, and it is well over 150 miles, you’ll start early in the morning and you’ll watch the scenery on the left-hand side of the highway and the right-hand side of the highway. And you will enjoy the Arizona scenery all the way to Tucson. (The new roads make it 125 miles now.) You will enjoy the scenery in the early morning light.",1,0.6412110762147594
"When you get to Tucson, you’ll absentmindedly find a parking lot and park your car and you look around and you will see a building. You will wonder what that building is and yet you’ll walk in. You’ll see a lot of people, young and old, male and female. They really won’t interest you. You will see a stack of mimeographed sheets of papers with questions, and you will pick up one of the bunch and a blue book. Find a comfortable chair or seat. You will read all the questions and they won’t make any sense to you at all. Then you will read the first question a second time and it will seem to make a little bit of sense. And so, a little bit of information will trickle out of your pen on to the blue book. And before that little trickle of information dries up there will be another little trickle, followed by another little trickle. After a while the little trickles dry up and you will read the second question. And it seems to make a bit of sense, and a little bit of information will trickle out of your pen onto the paper followed by another trickle and another trickle. And finally that trickle will dry up. You’ll move on to the next question, and so on for all the questions. And that evening you will walk around Tucson and admire the scenery, near and far. You will work up a good appetite and you will enjoy the food you eat. You will go for a walk before you go to bed. You will enjoy the Arizona blue skies. And you will go to bed and you will sleep soundly. Wake up feeling refreshed. You will eat a good breakfast. You will wander over to that building for a repeat of yesterday, a repeat of Thursday. And Friday evening you will walk around Tucson, working up an appetite enjoying the scenery far and near, and you will eat a wonderful dinner. And you go out for another walk and enjoy the blue",8,0.3420312025475749
"Go to the hospital, cooperate in every way, except you explain that you want no medication of any sort, and you won’t take any anesthesia. You just want to go into the delivery room and have your baby. And while you are lying on the delivery table think about the baby. Is it going to be a boy, or a girl? How much will it weigh? How long will it be? What color hair will it have, or will it be bald? And what color will its eyes be? And will you really name it the name you and your husband picked out? And while you are lying there waiting for your baby, enjoy all the happy thoughts about having a baby. And wait patiently and gladly to hear its first cry. Think of all the happiness that you hope to derive from having a baby. And think about how happy your husband will be, and how nice it is to live in Arizona.",6,0.6531404056991833
"All right, just close your eyes. Go into a trance very deeply and do a repetition of what you did the first time.",4,0.34443974728609994
"When her husband finished the law examination, he returned that evening so that he could see the Arizona scenery from the opposite point of view. He viewed it in the evening light.",7,0.5709516321844147
"You are going to accomplish your purpose, your goal. And I am very confident. I look confident. I act confident. I speak in a confident way, and my patient tends to believe me.",5,0.38260118543522637
I had no doubt when I told her to go into a trance. I had no doubts about her. I had no doubt about those two either. I was utterly confident. A good therapist should be utterly confident.,0,0.4467349705262197
"좋습니다. 내가 그 문제를 다루겠습니다. 깊은 최면 상태로 들어가십시오. 만약 당신의 요통이 유기적인 기초에 근거한 것이거나 척추 자체에 문제가 있는 것이라면, 내가 하는 어떤 말도 도움이 되지 않을 것입니다. 하지만 만약 그것이 당신의 할아버지, 작은아버지, 아버지, 그리고 형제로부터 배운 심리적이고 심신 상관적인 패턴이라면, 당신은 그 요통이 더 이상 필요하지 않다는 것을 알 수 있습니다. 그것은 단지 행동의 심신 상관적 패턴일 뿐입니다.",9,0.9608695652099272
Nine years is a long time. I’m not able to give you an x-ray and the kind of physical examination that I would like. I’ll send you to a friend of mine and he will report to me his findings and recommendations.,2,0.4853119135175484
And now you do those exercises and live a well-balanced life of activity and inactivity.,4,0.6200017398876613
"You just told me in a waking state about menstrual cramps and you want relief from them. So, understand this, your menstruation will cause you no further pain. You will have no more menstrual cramps. Now you wake up.",5,0.3479731054815798
"Go into a trance and listen carefully. I want you to develop a hypnotic anesthesia for menstrual cramps, for menstrual pains of all kinds. Now wake up free of your pain.",7,0.6553985565324862
Your body is a lot wiser than you are. You haven’t got menstrual cramps. I gave you a hypnotic anesthesia and any doctor knows an acute appendicitis can give pain like menstrual cramps. I produced an anesthesia for menstrual cramps and I didn’t mention your appendix. Call your surgeon.,7,0.516156356288596
"Your body knows more about you than you do. So when you do therapy with a patient, know what you are talking about. Don’t give general instructions. If I treat a headache, I may give the suggestion “for a harmless headache.” Then, if the headache is from a brain tumor, the hypnotic anesthesia won’t work. Now, with appendicitis pain, give them hypnotic anesthesia and it disappears, but the real diagnosis is menstrual cramps or some other alternative diagnosis. So when you treat an organic illness, know what you are talking about.",7,0.7053863101604161
"Now, as for the lawyer, all I did for him was to make him think Arizona was a nice place to live, and that the law examination was awfully unimportant; so he had no anxiety, no fear. He only had to write one little trickle of information at a time. Anybody can do that. And I’ve treated quite a number of lawyers in the same way — and medical men in the same way — by giving them a feeling of mental peace, of confidence and of self-assurance.",0,0.5499730060830069
I didn’t do anything to her except tell her about that lawyer.,6,0.47280166529624645
Now all of you will listen to things I say. All of you will apply what I say in accordance with your own specific understandings. When I talk about how the lawyers appreciate the wonderful scenery of,5,0.4773223547120659
"Well, how do you want your phobia treated?",4,0.4944050052382624
I don’t know if you are a good hypnotic subject,7,0.36329256497492585
That was a long time ago. How good are you now?,0,0.4601124397551714
I’ll have to test you.,1,0.6999893695870519
"You are a good hypnotic subject. I really don’t know how you behave on a plane, so I want to put you in a hypnotic trance and have you hallucinate being on a jet plane 35,000 feet up in the air.",0,0.5002048753824839
"내가 당신을 돕기 전에, 당신이 이해해주길 바라는 게 하나 있습니다. 당신은 서른 중반의 꽤 아름다운 여성입니다. 그리고 나는 남자죠. 내가 비록 휠체어에 앉아 있지만, 당신은 내가 어느 정도까지 장애가 있는지 알지 못합니다. 이제 나는 당신에게서 한 가지 약속을 받고 싶습니다. 내가 요구하는 것이 좋은 것이든 나쁜 것이든, 당신은 무엇이든 하겠다는 약속 말입니다. 명심하십시오. 당신은 매력적인 여성이고, 나는 당신이 그 한계를 알 수 없는 장애를 가진 남자라는 사실을요. 내가 제안하는 것이 무엇이든, 그것이 좋든 나쁘든, 당신이 모든 것을 하겠다는 절대적인 약속을 원합니다.",9,0.9718749999955716
"Now that you’ve given me that promise, I’m going to put you in a trance and ask for a similar promise.",2,0.4374927910248177
You promised both in a trance state and in a waking state — your absolute promise,5,0.5857147911937428
"Now, I can treat you for your airplane phobia. Go into a trance and hallucinate being 35,000 feet up in the air, traveling 650 miles per hour ground speed.",0,0.45466167439000377
"And now, I want you to have the plane descend and by the time it reaches the ground all your fears and phobias, anxiety and devils of torture will slide off your body and into the seat beside you.",4,0.5493720185058024
"Betty, sit in that chair.",6,0.2750002893236989
"Your therapy is complete. Have a good time flying to Dallas and flying back to Phoenix, and call me from the airport and tell me how much you enjoyed the plane trips.",6,0.4161219744668191
Would you be willing to tell your story to four students of mine whom I am tutoring for their Ph.D. examinations?,6,0.60268116085876
"Now, I would like to have you go into a trance, right here and now.",2,0.28295501996210626
"Now, in this trance I want you to go down to the airport in Phoenix, buy a ticket to San Francisco, and enjoy the scenery all the way there, especially the mountain scenery. When you get to San Francisco, disembark, rent a car and drive out to the Golden Gate Bridge. Park your car and walk out to the middle of the bridge and look down.",7,0.3141456480366244
"Now, I will tell you a bit about the history of that bridge. The pylons supporting the bridge were 740 feet high. When the bridge was completed, one of the workmen who painted the bridge had a fish net on the end of a long pole and he caught seagulls and painted their heads red. One day an enterprising reporter published a story in the newspaper about a new breed of redheaded seagulls. His name was Jake. All that is factual.",6,0.42594023285964916
