pattern_id,state,state_label,output
ERICKSON_YES_SET_CAPABILITY,RAPPORT,Rapport Building (라포 형성기),Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? A...
ERICKSON_NATURALISTIC_INDUCTION,RAPPORT,Rapport Building (라포 형성기),How would you walk down the street naturally... in a hurry?...
ERICKSON_IDEOMOTOR_FOCUS,ACTION,Call to Action (행동 촉구기),And how straight a line would you walk?...
ERICKSON_SUBTLE_DISTINCTION,RAPPORT,Rapport Building (라포 형성기),And where would you stop and where would you pause?...
ERICKSON_DIRECT_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),Now that’s what I call an evasive answer. Where would you pause and where would you stop?...
ERICKSON_NEGATIVE_CONSTRAINTS,RESISTANCE,Resistance Bypassing (저항 우회기),Not until you got to the curb?...
ERICKSON_SENSORY_SPECIFICITY,RAPPORT,Rapport Building (라포 형성기),How far before the curb?...
ERICKSON_UNCONSCIOUS_COMPETENCE,RAPPORT,Rapport Building (라포 형성기),예를 들어... 당신을 지목해 보죠. 당신은 걷는 법을 아나요? 일어서는 법은요? 당신이 어떻게 일어서는지 제게 설명해 주시겠습니까?...
ERICKSON_DIRECTIVE_FOCUS,ACTION,Call to Action (행동 촉구기),Look around where?...
ERICKSON_SENSORY_AWARENESS,RAPPORT,Rapport Building (라포 형성기),"Now, how would you walk down the street?..."
ERICKSON_UNCONSCIOUS_ACCESS,RAPPORT,Rapport Building (라포 형성기),How would you walk down the street naturally... in a hurry?...
ERICKSON_PRESUPPOSITION,RAPPORT,Rapport Building (라포 형성기),And how straight a line would you walk?...
ERICKSON_SENSORY_PROBE,RAPPORT,Rapport Building (라포 형성기),"Now, how would you walk down the street?..."
ERICKSON_LINGUISTIC_DISTINCTION,RAPPORT,Rapport Building (라포 형성기),And where would you stop and where would you pause?...
ERICKSON_KIN_ASSOCIATION,RAPPORT,Rapport Building (라포 형성기),How would you walk down the street naturally... in a hurry?...
ERICKSON_DIRECT_CONFRONTATION,RAPPORT,Rapport Building (라포 형성기),Now that’s what I call an evasive answer. Where would you pause and where would you stop?...
ERICKSON_SENSORY_PRECISION,RAPPORT,Rapport Building (라포 형성기),And how straight a line would you walk?...
ERICKSON_SUBTLE_DISTINCTION,RAPPORT,Rapport Building (라포 형성기),And where would you stop and where would you pause?...
ERICKSON_DIRECT_CHALLENGE_DOUBLE_BIND,RAPPORT,Rapport Building (라포 형성기),Now that’s what I call an evasive answer. Where would you pause and where would you stop?...
ERICKSON_NEGATIVE_PRESUPPOSITION,RAPPORT,Rapport Building (라포 형성기),Not until you got to the curb?...
ERICKSON_SENSORY_FOCUS,RAPPORT,Rapport Building (라포 형성기),How far before the curb?...
ERICKSON_CONFUSION_BY_REDUCTION,RESISTANCE,Resistance Bypassing (저항 우회기),"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?..."
ERICKSON_ESTABLISHING_CONSTRAINTS,RAPPORT,Rapport Building (라포 형성기),I said there is no traffic of any kind....
ERICKSON_TRUISM_AND_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up..."
ERICKSON_TEMPORAL_LINKAGE,RAPPORT,Rapport Building (라포 형성기),After you reach the curb....
ERICKSON_ELICITATION,RAPPORT,Rapport Building (라포 형성기),Look around where?...
ERICKSON_REALITY_CONSTRUCTION,RAPPORT,Rapport Building (라포 형성기),I said there was no traffic....
ERICKSON_TRUISM_AND_INQUIRY,RAPPORT,Rapport Building (라포 형성기),"You have to stop and see how far down you have to step, and you look right and left and up the stree..."
ERICKSON_TRUISM_YESSET,RAPPORT,Rapport Building (라포 형성기),"Well, if you were hungry, you would slow down passing a restaurant. After looking at your necklace, ..."
ERICKSON_REGRESSION_TRUISM,RAPPORT,Rapport Building (라포 형성기),"Now, since you are a doctor, how did you learn to stand up? The same question applies to all of you...."
ERICKSON_AGE_REGRESSION_INQUIRY,RAPPORT,Rapport Building (라포 형성기),You didn’t even know what “stand up” meant. How did you learn to stand up?...
ERICKSON_EARLY_LEARNING_REVIVIFICATION,RAPPORT,Rapport Building (라포 형성기),"After a while, after many efforts, you manage to keep your knees straight, your feet far apart, your..."
ERICKSON_TRUISM_TAG,RAPPORT,Rapport Building (라포 형성기),"Now, you speak German, do you not?..."
ERICKSON_PRESUPPOSITION,RAPPORT,Rapport Building (라포 형성기),How much more easily did you learn English than German?...
ERICKSON_OPEN_ENDED_INQUIRY,RAPPORT,Rapport Building (라포 형성기),Why?...
ERICKSON_TRUISM_YES_SET,RAPPORT,Rapport Building (라포 형성기),You had to learn an entirely new set of vocal movements. You had to coordinate those with your ears....
ERICKSON_DIRECT_SUGGESTION,ACTION,Call to Action (행동 촉구기),Now say it in German....
ERICKSON_UTILIZATION_LINGUISTIC,RAPPORT,Rapport Building (라포 형성기),Can you say it in Plattdeutsch?...
ERICKSON_OPEN_ENDED_INQUIRY,RAPPORT,Rapport Building (라포 형성기),Why not?...
ERICKSON_AMBIGUITY_PUN,RAPPORT,Rapport Building (라포 형성기),"Do you know this: “It’s nice to be Preiss, but higher to be Bayer?”..."
ERICKSON_PUN_AMBIGUITY,RAPPORT,Rapport Building (라포 형성기),"It’s nice to be Preiss, but higher to be Bayer...."
ERICKSON_UTILIZATION_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),"I can’t speak German. My accent may be wrong. It’s good to be Prussian, but it’s better to be Bavari..."
ERICKSON_REFRAMING_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),"Now, I want to make the accusation of all of you that you talk too softly. I think the truth is, I c..."
ERICKSON_TRUISM_RESOURCE_REVELATION,RAPPORT,Rapport Building (라포 형성기),"All right. In psychotherapy you teach a patient to use a great many of the things that they learned,..."
ERICKSON_CONSCIOUS_UNCONSCIOUS_DISSOCIATION,RAPPORT,Rapport Building (라포 형성기),"Now, another thing I want to call your attention to is the matter of hypnosis. Hypnosis is the ceasi..."
ERICKSON_PATTERN_INTERRUPT,RESISTANCE,Resistance Bypassing (저항 우회기),I am going to ask you to change seats with......
ERICKSON_DIRECT_PACING,RAPPORT,Rapport Building (라포 형성기),What is your first name?...
ERICKSON_UTILIZATION_ATTENTION,RAPPORT,Rapport Building (라포 형성기),Kristie?...
ERICKSON_DIRECT_INQUIRY,RAPPORT,Rapport Building (라포 형성기),Has Joe Barber put you in a trance?...
ERICKSON_INTERROGATIVE_TRUISM,RAPPORT,Rapport Building (라포 형성기),Many times?...
ERICKSON_DIRECT_SUGGESTION_PACING,RAPPORT,Rapport Building (라포 형성기),All right. Lean back in your chair and look at that horse....
ERICKSON_SENSORY_FOCUS,RAPPORT,Rapport Building (라포 형성기),Do you see it?...
ERICKSON_INDUCTION_REGRESSION,RAPPORT,Rapport Building (라포 형성기),Just look in that general direction. I want all of you to listen to me and note what I am saying. No...
ERICKSON_DISSOCIATION_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),"And next, I want you to learn something else very important. I want your body to keep sleeping deepl..."
ERICKSON_INTERNAL_FOCUS,RAPPORT,Rapport Building (라포 형성기),How do you feel?...
ERICKSON_PERMISSIVE_INQUIRY,RAPPORT,Rapport Building (라포 형성기),"And, what memories would you like to share with us?..."
ERICKSON_YES_SET_TRANSITION,RAPPORT,Rapport Building (라포 형성기),Yes... How about school?...
ERICKSON_PRESUPPOSITION_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),You don’t believe you had a memory of your schooldays?...
ERICKSON_INTERROGATIVE_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),You are sure of that?...
ERICKSON_TRUISM_PACING,RAPPORT,Rapport Building (라포 형성기),You feel that you are awake....
ERICKSON_TRUISM_LEARNING,RAPPORT,Rapport Building (라포 형성기),One of the important things you learn when you are first born...
ERICKSON_INDIRECT_INQUIRY,RAPPORT,Rapport Building (라포 형성기),How come your hand is lifted?...
ERICKSON_DOUBLE_BIND,RAPPORT,Rapport Building (라포 형성기),"Is that the important thing, or is the important thing that your hand levitated and you don’t know w..."
ERICKSON_DISSOCIATION_QUERY,RAPPORT,Rapport Building (라포 형성기),What’s that?...
ERICKSON_DISSOCIATIVE_INQUIRY,RAPPORT,Rapport Building (라포 형성기),"Well, what caused it to levitate?..."
ERICKSON_DOUBLE_BIND_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),There is a lot of your behavior you don’t know about. You always use your right-hand direction and l...
ERICKSON_UTILIZATION_TRUISM,RAPPORT,Rapport Building (라포 형성기),And you are very responsive. I made a hand movement and you started to copy it....
ERICKSON_DOUBLE_BIND_PARADOX,RESISTANCE,Resistance Bypassing (저항 우회기),"I made a hand movement. You started to copy it. Now, the only way that you can get that hand down to..."
ERICKSON_DISSOCIATION_STRATEGY,RAPPORT,Rapport Building (라포 형성기),I know. You are letting your intellect interfere with your learning....
ERICKSON_DISSOCIATION_RATIFICATION,RAPPORT,Rapport Building (라포 형성기),"Now I’ll call the attention of everybody. Did you ever see anybody sit that still, that quietly? And..."
ERICKSON_UTILIZATION_GAP,RAPPORT,Rapport Building (라포 형성기),What’s that?...
ERICKSON_UTILIZATION_AND_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),"I’m very glad to hear that. When you really want your right hand to go down, your left hand will lif..."
ERICKSON_DOUBLE_BIND_PRESUPPOSITION,RAPPORT,Rapport Building (라포 형성기),"You really do, don’t you. And you really don’t know that you are asleep. How long do you think you w..."
ERICKSON_DISSOCIATIVE_INTERROGATIVE,RAPPORT,Rapport Building (라포 형성기),Will they close now? And stay closed? Now you want to rationalize that?...
ERICKSON_TRUISM_AWARENESS,RAPPORT,Rapport Building (라포 형성기),"Are you aware of the fact, you can’t stand up?..."
ERICKSON_PRESUPPOSITION_DOUBT,RAPPORT,Rapport Building (라포 형성기),Are you beginning to have doubts that you could stand up?...
ERICKSON_NEGATIVE_INTERROGATIVE_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),Aren’t you behaving like a sacral block?...
ERICKSON_TERMINOLOGY_ANCHORING,RAPPORT,Rapport Building (라포 형성기),Sacral block. A sacral anesthesia......
ERICKSON_INTERROGATIVE_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),Aren’t you behaving that way?...
ERICKSON_INDIRECT_SUGGESTION,ACTION,Call to Action (행동 촉구기),She didn’t watch her wiggle and watch all the others wiggle. Now all of you understand what I mean w...
ERICKSON_TAG_QUESTION_AWARENESS,RAPPORT,Rapport Building (라포 형성기),"You feel more awake in your arms, don’t you?..."
ERICKSON_DISSOCIATION_REFRAMING,RAPPORT,Rapport Building (라포 형성기),Can you move them? Your fingers aren’t your hands....
ERICKSON_INDIRECT_SUGGESTION_DISSOCIATION,ACTION,Call to Action (행동 촉구기),Can you rationalize that effort? The doctor here is an anesthesiologist and she is interested in hyp...
ERICKSON_PACING_TRUISM,RAPPORT,Rapport Building (라포 형성기),I notice that all of you are constantly changing your posture....
ERICKSON_PHYSIOLOGICAL_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),"I had a patient once, who came to me for therapy. She had been coming for several months. And one da..."
ERICKSON_IDEOMOTOR_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),Your shoulders are waking up....
ERICKSON_PRESUPPOSITION_PROTECTION,RAPPORT,Rapport Building (라포 형성기),I think it will save you some embarrassment....
ERICKSON_INDIRECT_SUGGESTION_TRUISM,RAPPORT,Rapport Building (라포 형성기),"Well, I do hope you don’t have to go to the bathroom too suddenly.... You are getting better acquain..."
ERICKSON_PERMISSIVE_SUGGESTION,ACTION,Call to Action (행동 촉구기),You don’t have to go to the bathroom....
ERICKSON_PRESUPPOSITION_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),Who among you have never been in a trance?...
ERICKSON_YES_SET_TRUISM,RAPPORT,Rapport Building (라포 형성기),"You haven’t. And you haven’t. Well, doctor, a pretty girl is easier to look at in a trance than a ma..."
ERICKSON_TRUISM,RAPPORT,Rapport Building (라포 형성기),A pretty girl is easier to look at....
ERICKSON_ATTENTION_SHIFT,RAPPORT,Rapport Building (라포 형성기),"So, will you change seats with... And did all of you notice, I didn’t ask anything of Christine...."
ERICKSON_YES_SET_TAG_QUESTION,RAPPORT,Rapport Building (라포 형성기),"Your name is Kristie, isn’t it?..."
ERICKSON_PATTERN_INTERRUPT,RESISTANCE,Resistance Bypassing (저항 우회기),Christine. Did I ask you to sit over there?...
ERICKSON_DIRECT_CLARIFICATION,RAPPORT,Rapport Building (라포 형성기),"No, I asked her...."
ERICKSON_UTILIZATION_AUTONOMY,RAPPORT,Rapport Building (라포 형성기),"Well, you have already done it. I didn’t ask you to wake up. I let your conscious mind take over. I ..."
ERICKSON_PRESUPPOSITIONAL_INQUIRY,RAPPORT,Rapport Building (라포 형성기),You’ve never been in a trance?...
ERICKSON_DIRECT_FOCUS,RAPPORT,Rapport Building (라포 형성기),Your name?...
ERICKSON_CATALEPSY_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),Carol. Is it your common experience to let a strange man lift your hand and leave it in midair?...
ERICKSON_INDIRECT_INDUCTION,RAPPORT,Rapport Building (라포 형성기),Do you think you are in a trance?...
ERICKSON_INTERROGATIVE_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),You really don’t?...
ERICKSON_CHALLENGE_CERTAINTY,RAPPORT,Rapport Building (라포 형성기),You’re sure?...
ERICKSON_INDIRECT_SUGGESTION,ACTION,Call to Action (행동 촉구기),You’re not sure. Do you think your eyes will soon close?...
ERICKSON_UTILIZATION_TRUISM,RAPPORT,Rapport Building (라포 형성기),You don’t know....
ERICKSON_NEGATIVE_SUGGESTION_CHALLENGE,ACTION,Call to Action (행동 촉구기),Are you really sure your eyes won’t close and stay closed?...
ERICKSON_INTERROGATIVE_SUGGESTION,ACTION,Call to Action (행동 촉구기),Do you suppose that soon they’ll blink shut and stay shut?...
ERICKSON_UNCERTAINTY_INDUCTION,RAPPORT,Rapport Building (라포 형성기),"You’re not really sure at all are you, Carol?..."
ERICKSON_EXPECTANCY_TRUISM,RAPPORT,Rapport Building (라포 형성기),But you’re beginning to get sure your eyes will close. Pretty soon now... and stayed closed....
ERICKSON_UTILIZATION_AND_DISSOCIATION,RAPPORT,Rapport Building (라포 형성기),"In psychotherapy, you ought to know that your patient knows more about his past learnings than you c..."
ERICKSON_AGE_REGRESSION,RAPPORT,Rapport Building (라포 형성기),"Maybe you are a little girl playing at home, or maybe you are a little girl in school. I would like ..."
ERICKSON_AGE_REGRESSION_REVIVIFICATION,RAPPORT,Rapport Building (라포 형성기),"You might be playing a game on the school grounds. You might be eating your lunch, or you might be i..."
ERICKSON_AGE_REGRESSION_DISORIENTATION,RAPPORT,Rapport Building (라포 형성기),And the year is not 1979 — it’s a long way off. It’s not even 1977 — It’s not even 1970. And I don’t...
ERICKSON_DISSOCIATIVE_AWAKENING,RAPPORT,Rapport Building (라포 형성기),After a while you will awaken and tell us about the little girl named Carol. And really be that nice...
ERICKSON_INTERROGATIVE_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),I Do?...
ERICKSON_REORIENTATION,RAPPORT,Rapport Building (라포 형성기),Thank You. Where are we?...
ERICKSON_INTERROGATIVE_GROUNDING,RAPPORT,Rapport Building (라포 형성기),In a little park?...
ERICKSON_AGE_PROGRESSION,RAPPORT,Rapport Building (라포 형성기),What are you going to do when you are a big girl?...
ERICKSON_PACING_AND_LEADING,RAPPORT,Rapport Building (라포 형성기),It is a very long time away. What do you like to do now?...
ERICKSON_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),What kind of games?...
ERICKSON_MINIMAL_CUE,RAPPORT,Rapport Building (라포 형성기),Ball?...
ERICKSON_AGE_REGRESSION_ANCHOR,RAPPORT,Rapport Building (라포 형성기),Hopscotch....
ERICKSON_PATTERN_INTERRUPT,RESISTANCE,Resistance Bypassing (저항 우회기),Hopscotch. Where do you live? Near this park?...
ERICKSON_MINIMALIST_INQUIRY,RAPPORT,Rapport Building (라포 형성기),Where?...
ERICKSON_PRESUPPOSITION_DISSOCIATION,RAPPORT,Rapport Building (라포 형성기),Where do you live far away?...
ERICKSON_PACING_INQUIRY,RAPPORT,Rapport Building (라포 형성기),Where is that?...
ERICKSON_AGE_REGRESSION_TRANCE_DEEPENING,RAPPORT,Rapport Building (라포 형성기),Pennsylvania. (In a lilting voice.) How old are you?...
ERICKSON_PACING_TRUISM,RAPPORT,Rapport Building (라포 형성기),You’re five years old....
ERICKSON_AGE_REGRESSION_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),Three or four. And what do you like best about this park?...
ERICKSON_INTERIOR_SEARCH,RAPPORT,Rapport Building (라포 형성기),Do you wish they were here now?...
ERICKSON_YES_SET_PACING,RAPPORT,Rapport Building (라포 형성기),And are there lots of trees?...
ERICKSON_ENVIRONMENTAL_CHECK,RAPPORT,Rapport Building (라포 형성기),Any people around?...
ERICKSON_GROUNDING_COMMAND,ACTION,Call to Action (행동 촉구기),Now....
ERICKSON_DIRECT_INQUIRY_FOR_REGRESSION,RAPPORT,Rapport Building (라포 형성기),Who are these people?...
ERICKSON_AGE_REGRESSION,RAPPORT,Rapport Building (라포 형성기),You are only three or four or five years old. Where did you learn to say such a big word as “profess...
ERICKSON_PRESUPPOSITION_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),How do you feel right now that you can’t stand up?...
ERICKSON_TRUISM_AWARENESS,RAPPORT,Rapport Building (라포 형성기),Now you are aware....
ERICKSON_TRUISM_PACING,RAPPORT,Rapport Building (라포 형성기),It is....
ERICKSON_INTERROGATIVE_ENGAGEMENT,RAPPORT,Rapport Building (라포 형성기),Would you like to have me tell you a secret?...
ERICKSON_UTILIZATION_TRUISM,RAPPORT,Rapport Building (라포 형성기),"Now, all the people around here have forgotten to hear the traffic sounds. (Erickson smiles.) And I ..."
ERICKSON_COMPOUND_INDUCTION,RAPPORT,Rapport Building (라포 형성기),"Close your eyes. Just close them. And enjoy sleeping soundly ... in a very comfortable trance, and y..."
ERICKSON_FUTURE_PACING_DIRECTIVE,RAPPORT,Rapport Building (라포 형성기),"Someday, three or four months from now, I’m going to call a meeting of all of you. Every one of you ..."
ERICKSON_TEMPORAL_ANCHORING,RAPPORT,Rapport Building (라포 형성기),Remember... I assigned some books to each of you to review. The time has now come for the review....
ERICKSON_DIRECT_CONFRONTATION_ACCOUNTABILITY,RAPPORT,Rapport Building (라포 형성기),I do not accept excuses. You were assigned the book to read and were told in three or four months to...
ERICKSON_CREATIVE_PROJECTION,RAPPORT,Rapport Building (라포 형성기),Get out some paper and take your pen and each of you summarize what you think the author should have...
ERICKSON_TRUISM_COMMAND,RAPPORT,Rapport Building (라포 형성기),"Well, you know the name and the title of the book. That is all there is to it. Sit down and summariz..."
ERICKSON_TRANCE_TERMINATION,RAPPORT,Rapport Building (라포 형성기),"And shortly, Carol, I would like to have you awaken all over. Gently, comfortably...."
ERICKSON_SYMBOLIC_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),"What do you think about that Count Dracula hanging there? During the day, that is where he lives. Bu..."
ERICKSON_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),"Now all of you have seen Count Dracula. You see, this way he doesn’t need a coffin, and nobody suspe..."
ERICKSON_INTERROGATIVE_SUGGESTION,ACTION,Call to Action (행동 촉구기),Would you like to have me tell your fortune?...
ERICKSON_VISUAL_HALLUCINATION_SUGGESTION,ACTION,Call to Action (행동 촉구기),"See this line — do you see the letters “R, e, a, d, i, n, g”? It’s the name of a park...."
ERICKSON_UTILIZATION_FOCUS,RAPPORT,Rapport Building (라포 형성기),"그 공원의 이름이... 정확히 무엇이었는지 다시 한번 말씀해 주시겠습니까? 당신이 그 이름을 소리 내어 말할 때, 당신의 무의식은 이미 그 공원의 벤치에 앉아 그날의 공기를 마시고..."
ERICKSON_SPECIFICITY_PUN,RAPPORT,Rapport Building (라포 형성기),In Pennsylvania. Over here you see your Grandfather? Do you really enjoy going to that small park in...
ERICKSON_UTILIZATION_QUESTION,RAPPORT,Rapport Building (라포 형성기),How am I at palm reading?...
ERICKSON_UTILIZATION_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),Now why did I talk about Count Dracula? Why did I speak about Count Dracula? Count Dracula has an ap...
ERICKSON_REFRAMING_REDEFINITION,RAPPORT,Rapport Building (라포 형성기),Appeal — an interest for childhood....
ERICKSON_REFRAMING,RAPPORT,Rapport Building (라포 형성기),"No, an interest...."
ERICKSON_INDIRECT_SUGGESTION,ACTION,Call to Action (행동 촉구기),So I am saying something that children think about. And palm reading is another useful thing. And th...
ERICKSON_CONFUSION_TECHNIQUE,RESISTANCE,Resistance Bypassing (저항 우회기),What am I talking about?...
ERICKSON_UTILIZATION_AGE_REGRESSION,RAPPORT,Rapport Building (라포 형성기),"So, she hasn’t been able to follow it very well. (Laughs.) And all of you were taught by your teache..."
ERICKSON_OBSERVATION_OF_RESISTANCE,RESISTANCE,Resistance Bypassing (저항 우회기),She was unable to follow me even when I was talking about her....
ERICKSON_PRESUPPOSITION_RECALL,RAPPORT,Rapport Building (라포 형성기),When did you leave that place in Pennsylvania that had Reading Park?...
ERICKSON_RHETORICAL_CURIOSITY,RAPPORT,Rapport Building (라포 형성기),"Well, how did I know that you and your grandfather went to Reading Park?..."
ERICKSON_PARADOXICAL_PROVOCATION,RESISTANCE,Resistance Bypassing (저항 우회기),"He did, didn’t he? And you liked to look at his friends. Any other dark secrets of yours that you do..."
ERICKSON_UTILIZATION_AND_TRUISM,RAPPORT,Rapport Building (라포 형성기),Isn’t it funny how all the traffic sounds stopped again? Now you hear them again. All right. Now we ...
ERICKSON_TRUISM_PACING,RAPPORT,Rapport Building (라포 형성기),"Now, one year I was teaching hypnosis to dentists, doctors and psychologists at Phoenix College. I t..."
ERICKSON_UTILIZATION_PARADOX,RESISTANCE,Resistance Bypassing (저항 우회기),"I awakened her, and told her to stay awake. I started my lecture. She promptly went into a trance. A..."
ERICKSON_TRANSITIONAL_BRIDGE,RAPPORT,Rapport Building (라포 형성기),"Mary, 이제 그 깊은 최면 상태에서 천천히 빠져나오세요. 하지만 그냥 나오는 것이 아니라, 당신의 무의식 깊은 곳에 머물러 있던 소중한 어린 시절의 기억들을 몇 가지 가지고 함..."
ERICKSON_SENSORY_ANCHORING,RAPPORT,Rapport Building (라포 형성기),"I asked what that meant and she didn’t know. I tried again and again, but that’s all the childhood m..."
ERICKSON_UTILIZATION_REFRAMING,RAPPORT,Rapport Building (라포 형성기),"Well, since I can’t get anything out of her, I will create a situation in which Mary can really teac..."
ERICKSON_DISSOCIATIVE_AFFECT_ISOLATION,RAPPORT,Rapport Building (라포 형성기),"I want you to go into a deep, deep trance. Go into a deep trance, a very deep trance and find some e..."
ERICKSON_CALIBRATION_QUESTION,RAPPORT,Rapport Building (라포 형성기),"What is the trouble, Mary?..."
ERICKSON_LINGUISTIC_DISTINCTION,RAPPORT,Rapport Building (라포 형성기),"I asked her if she could take my hand and she said, “Yes.” I asked her if she would take my hand, an..."
ERICKSON_PERMISSIVE_OBSERVATION,RAPPORT,Rapport Building (라포 형성기),I invited the rest of the class to look Mary over and talk to her....
ERICKSON_TRANCE_REINDUCTION,RAPPORT,Rapport Building (라포 형성기),"Go back into the trance, way deep in the trance and bring out the intellectual side...."
ERICKSON_FUTURE_PACING,RAPPORT,Rapport Building (라포 형성기),"What is the rest of the story, Mary? There is still something more. The next class meeting bring in ..."
ERICKSON_FUTURE_PACING_TASK,RAPPORT,Rapport Building (라포 형성기),"Anything else, Mary? At the next meeting of the class, you bring in another installment of the story..."
ERICKSON_PATTERN_INTERRUPTION_AND_PRESUPPOSITION,RESISTANCE,Resistance Bypassing (저항 우회기),"No, Mary, you can tell us the next part of the story...."
ERICKSON_META_QUESTION_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),I’ll ask you a question and then you can tell us the next part. What question could you ask me? It’s...
ERICKSON_FUTURE_PACING_AND_SUGGESTION,RAPPORT,Rapport Building (라포 형성기),"Anything more? All right, bring in the next installment the next meeting of the class. Oh, yes there..."
ERICKSON_DOUBLE_BIND,RAPPORT,Rapport Building (라포 형성기),"Well, I will have to ask you a question again. Now, tell me, Mary, when you went in the house, did y..."
ERICKSON_MINIMAL_PROMPT,RAPPORT,Rapport Building (라포 형성기),"Is there anything else, Mary?..."
ERICKSON_PERMISSIVE_CHOICE,RAPPORT,Rapport Building (라포 형성기),Suggest to me what year or what event....
ERICKSON_INTERROGATIVE_SUGGESTION,ACTION,Call to Action (행동 촉구기),Why not regress me to my third birthday....
ERICKSON_UTILIZATION_CONTRADICTION,RAPPORT,Rapport Building (라포 형성기),Yet you say you and your wife want to move to Arizona and start a family...
ERICKSON_PACING_AND_TRUISM,RAPPORT,Rapport Building (라포 형성기),"Well, I don’t know anything about Arizona law; I’m only a psychiatrist, and I don’t know the law. I ..."
ERICKSON_FUTURE_PACING_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),You’ve got to go to Tucson tomorrow morning and you say that you and your wife want to move to Arizo...
